naslov,avtor,ocena,score,glasovalci
Lirael,Garth Nix,4.29,1.253,15

Forever,Maggie Stiefvater,3.91,1.25,18

Burned,P.C. Cast,3.98,1.25,18

Kushiel's Dart,Jacqueline Carey,4.03,1.247,15

Life As We Knew It,Susan Beth Pfeffer,3.89,1.246,15

Sovereign,C.J. Sansom,4.29,1.245,15

My Brilliant Friend,Elena Ferrante,3.95,1.239,16

Star of the Sea,Joseph O&#39;Connor,3.99,1.238,15

Obsidian,Jennifer L. Armentrout,4.2,1.227,16

To the Nines,Janet Evanovich,4.17,1.226,15

The Big Short: Inside the Doomsday Machine,Michael   Lewis,4.29,1.222,15

My Life in France,Julia Child,4.18,1.205,15

Life Expectancy,Dean Koontz,4.01,1.199,14

A Mercy,Toni Morrison,3.7,1.199,14

Aegis Rising,S.S. Segran,3.88,1.198,12

Gone,Lisa McMann,3.72,1.197,15

Phantom Wolf,Kia Carrington-Russell,3.43,1.195,12

The Terror,Dan Simmons,4.07,1.194,13

Van Laven Chronicles: Throne of Novoxos,Tyler Chase,4.36,1.193,12

The Night Watch,Sarah Waters,3.7,1.192,14

Saving CeeCee Honeycutt,Beth Hoffman,3.94,1.19,15

Trust: A New Beginning,Cristiane Serruya,3.81,1.19,12

Between the World and Me,Ta-Nehisi Coates,4.39,1.188,15

Duma Key,Stephen King,3.95,1.186,15

Hard Eight,Janet Evanovich,4.17,1.185,15

Crossed,Ally Condie,3.52,1.183,17

Iron Kissed,Patricia Briggs,4.37,1.181,16

The March,E.L. Doctorow,3.8,1.179,16

Dead Witch Walking,Kim Harrison,4.04,1.175,15

The House of the Scorpion,Nancy Farmer,4.1,1.175,16

Midnight Sun,Stephenie Meyer,4.02,1.172,15

The Book of Salt,Monique Truong,3.52,1.17,13

Number9Dream,David Mitchell,3.91,1.166,15

Across the Nightingale Floor,Lian Hearn,4.06,1.165,13

The Miraculous Journey of Edward Tulane,Kate DiCamillo,4.37,1.165,14

The Sacred Band,Janet E. Morris,4.5,1.165,12

Half the Sky: Turning Oppression Into Opportunity for Women Worldwide,Nicholas D. Kristof,4.29,1.156,14

The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,4.06,1.152,15

In the Night Garden,Catherynne M. Valente,4.14,1.143,12

The Devil Wears Prada,Lauren Weisberger,3.74,1.14,17

The Lace Reader,Brunonia Barry,3.47,1.134,14

The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,3.87,1.132,14

Child 44,Tom Rob Smith,4.09,1.128,14

The People of Paper,Salvador Plascencia,4.09,1.118,12

Oblivion,David Foster Wallace,4.07,1.117,12

The Underground Railroad,Colson Whitehead,4.02,1.112,15

We Are All Completely Beside Ourselves,Karen Joy Fowler,3.72,1.111,14

Marie Antoinette: The Journey,Antonia Fraser,3.93,1.108,14

The Unbecoming of Mara Dyer,Michelle Hodkin,4.06,1.107,15

"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,3.85,1.104,13

The God Complex,Chris Titus,3.47,1.1,11

Meeting With Christ and Other Poems,Deepak Chaswal,4.6,1.1,11

The Likeness,Tana French,4.06,1.099,14

Curiosity kills the KatHA,Ashok  Kallarakkal,3.71,1.099,11

Bossypants,Tina Fey,3.96,1.099,15

Persepolis 2: The Story of a Return,Marjane Satrapi,4.24,1.095,13

What I Loved,Siri Hustvedt,4.05,1.09,12

Shadow and Bone,Leigh Bardugo,4.02,1.086,13

"Heat: An Amateur's Adventures as Kitchen Slave, Line Cook, Pasta-Maker, and Apprentice to a Dante-Quoting Butcher in Tuscany",Bill Buford,3.9,1.083,13

Pandemonium,Lauren Oliver,4.05,1.08,15

Thud!,Terry Pratchett,4.32,1.078,12

Doctor Sleep,Stephen King,4.12,1.076,14

The Alchemyst,Michael Scott,3.85,1.074,14

The Lost: A Search for Six of Six Million,Daniel Mendelsohn,4.08,1.069,14

Skeletons at the Feast,Chris Bohjalian,4.0,1.061,12

The Awakening,Kelley Armstrong,4.15,1.06,16

Where She Went,Gayle Forman,4.03,1.059,14

Small Island,Andrea Levy,3.95,1.054,14

The Storied Life of A.J. Fikry,Gabrielle Zevin,3.99,1.054,14

Fire,Kristin Cashore,4.11,1.052,14

The Silver Linings Playbook,Matthew Quick,4.0,1.052,13

Inheritance,Christopher Paolini,4.1,1.045,13

Peony in Love,Lisa See,3.6,1.044,15

The Inheritance of Loss,Kiran Desai,3.43,1.043,14

Lisey's Story,Stephen King,3.68,1.042,13

The Nix,Nathan  Hill,4.09,1.041,11

Annihilation,Jeff VanderMeer,3.69,1.036,13

Embassytown,China Miéville,3.88,1.035,12

The Physick Book of Deliverance Dane,Katherine Howe,3.71,1.023,12

The Hate U Give,Angie Thomas,4.51,1.023,13

The Snowman,Jo Nesbø,4.01,1.02,14

The Angel Experiment,James Patterson,4.08,1.019,13

The Pale King,David Foster Wallace,3.95,1.019,11

1st to Die,James Patterson,4.08,1.017,13

The Solitude of Prime Numbers,Paolo Giordano,3.6,1.015,12

Alexander Hamilton,Ron Chernow,4.23,1.014,12

Hopeless,Colleen Hoover,4.3,1.011,14

The Invisible Bridge,Julie Orringer,4.19,1.006,13

Lover Eternal,J.R. Ward,4.35,1.005,14

The Lucky One,Nicholas Sparks,4.12,1.002,13

Ella Minnow Pea: A Novel in Letters,Mark Dunn,3.85,1.001,13

Truth and Beauty,Ann Patchett,3.95,1.0,13

Arielle: Immortal Awakening,Lilian Roberts,3.71,1.0,10

View Points and Points of View: A 'Phoetry Book' from Cornwall,Clive Blake,4.05,997.0,10

Blood Bound,Patricia Briggs,4.31,995.0,13

The Gathering,Kelley Armstrong,4.03,994.0,14

Walks Away Woman,Ki Longfellow,4.33,994.0,10

Vashua's Messenger,Julie Rollins,4.42,992.0,10

The Elite,Kiera Cass,4.02,992.0,13

Trust: Betrayed,Cristiane Serruya,4.0,990.0,10

We Were Liars,E. Lockhart,3.84,989.0,13

The Queen's Fool,Philippa Gregory,3.86,988.0,13

The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.93,984.0,13

The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,4.37,983.0,12

Why Not-World,Alexei Maxim Russell,4.07,980.0,10

Three Day Road,Joseph Boyden,4.31,977.0,11

Dark Fire,C.J. Sansom,4.27,973.0,12

Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.02,972.0,13

State of Wonder,Ann Patchett,3.87,970.0,15

The Girl Who Chased the Moon,Sarah Addison Allen,3.97,961.0,11

Diary of a Bad Year,J.M. Coetzee,3.61,957.0,8

The Children of Húrin,J.R.R. Tolkien,3.97,955.0,11

Cry Wolf,Patricia Briggs,4.12,952.0,12

The First Fifteen Lives of Harry August,Claire North,4.04,949.0,10

Lock and Key,Sarah Dessen,4.01,948.0,13

Angry Housewives Eating Bon Bons,Lorna Landvik,3.8,947.0,12

Changes,Jim Butcher,4.48,945.0,12

Look Me in the Eye: My Life with Asperger's,John Elder Robison,3.92,945.0,12

Handle with Care,Jodi Picoult,3.98,943.0,12

Leviathan,Scott Westerfeld,3.92,936.0,11

I Am Pilgrim,Terry Hayes,4.25,926.0,12

Princess Academy,Shannon Hale,4.02,922.0,13

The Golem and the Jinni,Helene Wecker,4.11,908.0,13

Soulless,Gail Carriger,3.9,903.0,12

Dead Wrong: Straight Facts on the Country's Most Controversial Cover-Ups,Richard Belzer,3.6,900.0,9

Walking On Air,Catherine Anderson,4.16,900.0,9

The Cuckoo's Calling,Robert Galbraith,3.86,900.0,12

Melody Jackson and the House on Lafayette Street,B.M.B. Johnson,4.54,900.0,9

"TIME TRAVEL EXPERIENCES: In a Sense, we all are Time Travelers! We are surviving each and every Active Time-Point in this Timeline.......",Aldrin Mathew,4.8,900.0,9

Master of the Senate,Robert A. Caro,4.42,899.0,10

The Valley of Unknowing,Philip Sington,3.82,897.0,9

A Court of Mist and Fury,Sarah J. Maas,4.65,896.0,10

Wolves of the Calla,Stephen King,4.18,895.0,11

Memories of My Melancholy Whores,Gabriel García Márquez,3.6,889.0,12

Blackwell's Wrath,Julie Rollins,4.32,884.0,9

Marvel 1602,Neil Gaiman,3.94,881.0,10

Trueman Bradley - Aspie Detective,Alexei Maxim Russell,4.38,880.0,9

American Born Chinese,Gene Luen Yang,3.88,879.0,11

Instruction Manual for the 21st Century Samurai,Alexei Maxim Russell,3.84,877.0,9

Speedy Reads,Chris-Jean Clarke,4.74,877.0,9

Genghis: Birth of an Empire,Conn Iggulden,4.37,876.0,10

Lincoln in the Bardo,George Saunders,3.76,874.0,11

An Abundance of Katherines,John Green,3.58,871.0,11

Rant,Chuck Palahniuk,3.81,867.0,11

Gone,Michael  Grant,3.86,867.0,11

The Prague Cemetery,Umberto Eco,3.44,861.0,10

Brother Odd,Dean Koontz,3.98,858.0,12

The Secret River,Kate Grenville,3.8,857.0,10

A Hat Full of Sky,Terry Pratchett,4.3,857.0,11

Tenth of December,George Saunders,3.97,857.0,10

Shopaholic and Sister,Sophie Kinsella,3.66,855.0,10

Hex Hall,Rachel Hawkins,3.95,855.0,13

Bone Crossed,Patricia Briggs,4.34,855.0,12

His Majesty's Dragon,Naomi Novik,4.05,849.0,12

Lover Awakened,J.R. Ward,4.45,843.0,12

Cosmopolis,Don DeLillo,3.22,839.0,11

Before I Die,Jenny Downham,3.83,834.0,10

The Short Second Life of Bree Tanner,Stephenie Meyer,3.5,831.0,12

Fun Home: A Family Tragicomic,Alison Bechdel,4.08,829.0,11

America,Jon   Stewart,4.02,828.0,12

The Mystic Saga Omnibus,Scott McElhaney,3.84,828.0,9

The House at Riverton,Kate Morton,3.95,824.0,10

The Immortals of Meluha,Amish Tripathi,4.07,822.0,9

Big Little Lies,Liane Moriarty,4.27,822.0,12

The Wind Through the Keyhole,Stephen King,4.15,822.0,11

Undead and Unwed,MaryJanice Davidson,3.82,821.0,10

The Well of Ascension,Brandon Sanderson,4.37,813.0,9

The Truth About Forever,Sarah Dessen,4.13,813.0,11

Until I Find You,John Irving,3.63,810.0,6

The One,Kiera Cass,4.2,810.0,10

Europe Central,William T. Vollmann,3.92,807.0,11

The Ask and the Answer,Patrick Ness,4.21,806.0,9

Prodigy,Marie Lu,4.27,805.0,12

Haunted,Chuck Palahniuk,3.59,802.0,9

Ruby Red,Kerstin Gier,4.11,802.0,10

Arana's Visitor,Julie Rollins,4.2,800.0,8

DeadAlive,Sandip Khade,3.35,800.0,8

The Wolves in the Walls,Neil Gaiman,4.07,798.0,10

The Round House,Louise Erdrich,3.94,798.0,11

The Ruins of Gorlan,John Flanagan,4.22,796.0,11

Written in Red,Anne Bishop,4.27,794.0,10

Between Shades of Gray,Ruta Sepetys,4.37,794.0,11

Just After Sunset,Stephen King,3.87,793.0,11

The Gravedigger's Daughter,Joyce Carol Oates,3.55,791.0,10

Switched,Amanda Hocking,3.88,787.0,11

The Code: The Assiduous Quest of Tobias Hopkins - Part Two,James Faro,4.86,787.0,8

Elantris,Brandon Sanderson,4.18,784.0,9

Heartsick,Chelsea Cain,3.93,783.0,10

Homecoming: The Assiduous Quest of Tobias Hopkins - Part One,James Faro,4.58,783.0,8

The Assiduous Quest of Tobias Hopkins: The Complete Novel,James Faro,4.2,783.0,8

1491: New Revelations of the Americas Before Columbus,Charles C. Mann,4.03,782.0,10

Black Hole,Scott McElhaney,4.19,782.0,8

"I, Lucifer",Glen Duncan,3.63,781.0,9

Kepler Moon Alpha,Scott McElhaney,4.15,781.0,8

On the Island,Tracey Garvis Graves,4.12,781.0,10

The Raven Boys,Maggie Stiefvater,4.06,780.0,11

Trueman Bradley - The Next Great Detective,Alexei Maxim Russell,4.75,780.0,8

Valhalla,Scott McElhaney,4.48,780.0,8

The Gateway,Scott McElhaney,4.35,780.0,8

Ilium,Dan Simmons,4.03,780.0,9

Go Set a Watchman,Harper Lee,3.31,778.0,10

When Dreams Die,Julie Rollins,4.24,776.0,8

Heart-Shaped Box,Joe Hill,3.83,774.0,11

The Narrow Road to the Deep North,Richard Flanagan,4.02,773.0,9

Dominion,Scott McElhaney,3.75,768.0,8

The Hunger Games Trilogy Boxset,Suzanne Collins,4.48,765.0,10

A Constellation of Vital Phenomena,Anthony Marra,4.13,765.0,10

Ghosts of Ophidian,Scott McElhaney,3.68,764.0,8

The Lincoln Lawyer,Michael Connelly,4.16,763.0,11

Night Fall,Nelson DeMille,4.09,762.0,9

Silence,Becca Fitzpatrick,4.13,760.0,11

The Elephant Tree,R.D. Ronald,3.99,758.0,8

Anna Dressed in Blood,Kendare Blake,3.94,752.0,9

Beyond the Event Horizon,Scott McElhaney,3.92,747.0,8

Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,4.43,745.0,9

Asterios Polyp,David Mazzucchelli,4.19,744.0,8

The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,4.23,742.0,9

Skulduggery Pleasant,Derek Landy,4.17,741.0,10

Darkmans,Nicola Barker,3.63,740.0,8

Inkdeath,Cornelia Funke,3.94,737.0,11

"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.29,734.0,9

The Lowland,Jhumpa Lahiri,3.85,734.0,9

The End of Mr. Y,Scarlett Thomas,3.79,733.0,9

Evernight,Claudia Gray,3.64,733.0,9

Inkspell,Cornelia Funke,3.92,733.0,11

102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers,Jim  Dwyer,4.26,731.0,10

The Hummingbird's Daughter,Luis Alberto Urrea,4.18,729.0,9

Nightshade,Andrea Cremer,4.03,728.0,10

I Shall Wear Midnight,Terry Pratchett,4.35,728.0,9

1Q84,Haruki Murakami,4.0,728.0,9

Colonization,Scott McElhaney,3.89,728.0,8

Shatter Me,Tahereh Mafi,3.97,726.0,10

Into the Wild,Erin Hunter,4.3,723.0,10

The Hero of Ages,Brandon Sanderson,4.49,714.0,8

Monstrous Regiment,Terry Pratchett,4.21,713.0,8

Youth,J.M. Coetzee,3.79,710.0,8

"Crooked Letter, Crooked Letter",Tom Franklin,3.83,708.0,8

Magic Bites,Ilona Andrews,4.07,708.0,10

Shadowland,Alyson Noel,3.66,707.0,9

Unearthly,Cynthia Hand,4.03,707.0,10

Queen of Shadows,Sarah J. Maas,4.57,707.0,9

Eleven on Top,Janet Evanovich,4.16,706.0,9

The Gordonston Ladies Dog Walking Club,Duncan Whitehead,3.39,700.0,7

The Mystery of Revenge,G.X. Chen,4.17,700.0,7

Laços fortes e decisões difíceis,Graça Jacinto,4.73,700.0,7

If I Wake,Nikki Moyes,3.97,700.0,7

Dark Guardian,Ammar Habib,4.19,700.0,7

Never Go With Your Gut: How Pioneering Leaders Make the Best Decisions and Avoid Business Disasters,Gleb Tsipursky,4.64,700.0,7

The Innocent,Harlan Coben,3.96,699.0,8

In Her Shoes,Jennifer Weiner,3.79,697.0,10

The Cat's Table,Michael Ondaatje,3.6,695.0,10

The Death Cure,James Dashner,3.77,695.0,10

Off the Grid: The Catalyst,Brian  Courtney,4.19,695.0,7

Cross My Heart and Hope to Spy,Ally Carter,4.13,694.0,9

Spilled Milk,K.L. Randis,4.28,694.0,7

Before I Go to Sleep,S.J. Watson,3.88,694.0,10

"Thinking, Fast and Slow",Daniel Kahneman,4.15,693.0,8

"You Really Are Full of Shit, Aren't You?",Karl Wiggins,4.13,690.0,7

The City of Ember,Jeanne DuPrau,3.86,689.0,10

Flight Behavior,Barbara Kingsolver,3.78,689.0,10

The Mysterious Benedict Society,Trenton Lee Stewart,4.16,689.0,8

Whale Talk,Chris Crutcher,3.96,687.0,8

Forgotten Lore: Volume I,Alexei Maxim Russell,4.26,687.0,7

Bloodlines,Lindsay Anne Kendal,3.7,686.0,7

Trinity,Domenico Italo Composto-Hart,4.17,686.0,7

The Circle Trilogy,Ted Dekker,4.49,685.0,7

Lighthousekeeping,Jeanette Winterson,3.85,683.0,8

A Long Way Down,Nick Hornby,3.42,683.0,10

Forgotten Lore: Volume II,Alexei Maxim Russell,4.19,682.0,7

Brooklyn,Colm Tóibín,3.67,680.0,8

The Blood of Olympus,Rick Riordan,4.42,680.0,9

The Uncommon Reader,Alan Bennett,3.8,679.0,9

Requiem,Lauren Oliver,3.75,678.0,9

Amatore's Restaurant,James Sillwood,4.29,677.0,7

The Zombie Room,R.D. Ronald,4.02,676.0,7

Grit: The Banter and Brutality of the Late-Night Cab,Karl Wiggins,4.32,674.0,7

Magyk,Angie Sage,3.82,672.0,9

Song of Susannah,Stephen King,3.98,671.0,9

Blood Rites,Jim Butcher,4.33,671.0,9

Grave Peril,Jim Butcher,4.17,669.0,9

The Iron King,Julie Kagawa,3.91,667.0,8

The Years Distilled: Verses,Dennis Sharpe,4.87,667.0,7

The Story of a New Name,Elena Ferrante,4.38,667.0,9

Code Name Verity,Elizabeth Wein,4.05,665.0,9

Skipping Christmas,John Grisham,3.49,663.0,9

Small Favor,Jim Butcher,4.44,661.0,9

White Night,Jim Butcher,4.4,661.0,9

The Monsters of Templeton,Lauren Groff,3.61,659.0,8

Extras,Scott Westerfeld,3.59,657.0,9

Chronicles: Volume One,Bob Dylan,3.98,656.0,9

A Dog's Purpose,W. Bruce Cameron,4.36,656.0,8

Super Sad True Love Story,Gary Shteyngart,3.45,656.0,8

"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,4.08,655.0,9

On the Jellicoe Road,Melina Marchetta,4.13,655.0,8

The Places in Between,Rory Stewart,3.9,651.0,8

Out of My Mind,Sharon M. Draper,4.38,651.0,9

Beautiful Darkness,Kami Garcia,3.84,649.0,11

44 Scotland Street,Alexander McCall Smith,3.61,647.0,10

Blood Song,Anthony Ryan,4.44,645.0,7

Spell Bound,Rachel Hawkins,4.08,643.0,10

Gulag: A History,Anne Applebaum,4.22,642.0,9

Dark Matter,Blake Crouch,4.1,642.0,8

"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",Alice Munro,4.05,641.0,9

Fool's Fate,Robin Hobb,4.42,641.0,7

"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,3.98,640.0,8

Finale,Becca Fitzpatrick,4.2,639.0,9

"Blackamoores: Africans in Tudor England, Their Presence, Status and Origins",Onyeka,4.4,638.0,7

Heist Society,Ally Carter,3.91,637.0,8

Slave: My True Story,Mende Nazer,4.32,636.0,8

Any Human Heart,William  Boyd,4.27,635.0,8

"Where'd You Go, Bernadette",Maria Semple,3.9,634.0,9

Runaway,Alice Munro,3.98,633.0,8

Shakespeare: The World as Stage,Bill Bryson,3.8,632.0,8

The Twelve,Justin Cronin,4.0,631.0,8

Altered Carbon,Richard K. Morgan,4.05,626.0,7

The Pickup,Nadine Gordimer,3.56,622.0,8

The Weight of Silence,Heather Gudenkauf,3.93,622.0,7

The Edge of Never,J.A. Redmerski,4.24,622.0,9

His Excellency: George Washington,Joseph J. Ellis,3.93,617.0,8

Bloodfever,Karen Marie Moning,4.28,616.0,8

Cold Days,Jim Butcher,4.5,616.0,8

"Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",Jen Lancaster,3.89,614.0,7

Tell the Wolves I'm Home,Carol Rifka Brunt,4.04,614.0,7

Only Time Will Tell,Jeffrey Archer,4.08,612.0,9

When Will There Be Good News?,Kate Atkinson,3.99,607.0,8

Snuff,Terry Pratchett,4.16,607.0,7

The Hundred Thousand Kingdoms,N.K. Jemisin,3.85,605.0,7

Skinny Dip,Carl Hiaasen,3.81,605.0,5

Skippy Dies,Paul Murray,3.73,603.0,7

The Magicians' Guild,Trudi Canavan,3.95,602.0,9

After Dark,Haruki Murakami,3.7,602.0,9

Zeitoun,Dave Eggers,4.07,600.0,9

The Unwords,Non Nomen,3.63,600.0,6

"Take a Deep Breath - 21 Top Tips for Relaxed, Rewarding and Healthy Life for Stressed Wage Earners",Michal Siwiec,4.0,600.0,6

A Capitalist in North Korea: My Seven Years in the Hermit Kingdom,Felix Abt,3.61,600.0,6

"We Got Zombies On The Lawn Again, Ma",Donnie  Smith,3.39,600.0,6

The Millennial Reincarnations,Daniel M. Harrison,3.79,600.0,6

Unwifeable: A Memoir,Mandy Stadtmiller,3.61,600.0,6

Lights on the Sea,Miquel Reina,4.0,600.0,6

Together: AI and Human. On The Same Side.,Zoltan Andrejkovics,4.51,600.0,6

Winter of the World,Ken Follett,4.33,597.0,8

"Yours Truly, Taddy",Avery Aster,3.67,597.0,6

Born at Midnight,C.C. Hunter,4.12,596.0,9

Prey,Michael Crichton,3.75,595.0,8

"Love, Lex",Avery Aster,3.24,595.0,6

Rules,Cynthia Lord,3.97,594.0,7

Carnelian,B. Kristin McMichael,3.87,594.0,6

The IX,Andrew P. Weston,3.41,594.0,6

Angelica And Francesca,Kenneth Jarrett Singleton,4.57,594.0,6

The Undomestic Goddess,Sophie Kinsella,3.83,592.0,8

Empire of Storms,Sarah J. Maas,4.56,592.0,8

Seeing,José Saramago,3.81,591.0,7

The Language of Flowers,Vanessa Diffenbaugh,4.08,591.0,8

MaddAddam,Margaret Atwood,4.0,591.0,7

The Assassin's Blade,Sarah J. Maas,4.43,591.0,8

The Algebraist,Iain M. Banks,4.02,590.0,7

NW,Zadie Smith,3.45,589.0,7

Engleby,Sebastian Faulks,3.73,588.0,7

La carte et le territoire,Michel Houellebecq,3.94,588.0,7

Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.09,588.0,8

Billy Lynn's Long Halftime Walk,Ben Fountain,3.8,585.0,8

Don't Let's Go to the Dogs Tonight: An African Childhood,Alexandra Fuller,3.97,584.0,8

God Is Dead,Ron Currie Jr.,3.75,582.0,6

The Tenth Circle,Jodi Picoult,3.5,582.0,8

This Changes Everything: Capitalism vs. The Climate,Naomi Klein,4.17,582.0,6

Crank,Ellen Hopkins,4.16,581.0,8

Skinhead... The Life I Chose: Memoirs of a Real Skin,Spike Pitt,4.01,579.0,6

My Dream of You,Nuala O&#39;Faolain,3.56,575.0,7

A Bend in the Road,Nicholas Sparks,4.03,574.0,8

The Fall of Berlin 1945,Antony Beevor,4.29,574.0,6

Benjamin Franklin: An American Life,Walter Isaacson,4.0,573.0,9

Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,4.16,573.0,8

River Marked,Patricia Briggs,4.28,572.0,8

The Storyteller,Jodi Picoult,4.28,571.0,7

Colombiano,Rusty Young,4.34,569.0,6

Going Postal,Terry Pratchett,4.38,565.0,8

The Circle,Dave Eggers,3.43,565.0,7

GraceLand,Chris Abani,3.78,563.0,6

Next,Michael Crichton,3.5,562.0,8

A Fraction of the Whole,Steve Toltz,4.13,559.0,7

Wool,Hugh Howey,4.12,559.0,6

Those Who Leave and Those Who Stay,Elena Ferrante,4.3,559.0,8

Secret Daughter,Shilpi Somaya Gowda,3.98,558.0,9

Monsters of Men,Patrick Ness,4.25,557.0,6

The Sweetness at the Bottom of the Pie,Alan Bradley,3.82,555.0,9

Just One Look,Harlan Coben,4.01,554.0,7

The Tin Roof Blowdown,James Lee Burke,4.17,554.0,7

Something Blue,Emily Giffin,3.93,551.0,7

Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,3.97,551.0,6

Along for the Ride,Sarah Dessen,4.06,551.0,10

At Home: A Short History of Private Life,Bill Bryson,3.97,551.0,8

Nation,Terry Pratchett,4.07,550.0,8

The Stolen Child,Keith Donohue,3.72,548.0,6

American Rust,Philipp Meyer,3.7,548.0,6

The Imperfectionists,Tom Rachman,3.54,545.0,7

Joyland,Stephen King,3.91,544.0,7

The Autograph Man,Zadie Smith,3.16,543.0,8

Longbourn,Jo Baker,3.63,542.0,6

The Outlaw Demon Wails,Kim Harrison,4.39,541.0,8

Hunting Ground,Patricia Briggs,4.28,541.0,8

Olympos,Dan Simmons,3.94,539.0,6

Dreamfever,Karen Marie Moning,4.41,538.0,7

Forbidden,Tabitha Suzuma,4.04,538.0,7

A Court of Thorns and Roses,Sarah J. Maas,4.25,536.0,7

The Iron Daughter,Julie Kagawa,4.11,535.0,7

The Sympathizer,Viet Thanh Nguyen,3.99,535.0,7

Einstein: His Life and Universe,Walter Isaacson,4.12,534.0,7

Words of Radiance,Brandon Sanderson,4.76,532.0,7

Amazonia,James Rollins,4.12,531.0,6

Alice's Tulips,Sandra Dallas,3.81,529.0,6

Twelve Sharp,Janet Evanovich,4.15,529.0,7

Ain't No Grave: The Life and Legacy of Brother Claude Ely,Macel Ely II,4.11,529.0,6

Salvage the Bones,Jesmyn Ward,3.93,529.0,7

The Surgeon,Tess Gerritsen,4.1,528.0,7

The Sugar Queen,Sarah Addison Allen,3.98,528.0,6

The Master,Colm Tóibín,3.83,527.0,7

Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,4.34,527.0,7

Sold,Patricia McCormick,4.21,525.0,7

Warm Bodies,Isaac Marion,3.92,525.0,7

Trickster's Choice,Tamora Pierce,4.27,524.0,8

The Hard Way,Lee Child,4.16,519.0,7

A Prisoner of Birth,Jeffrey Archer,4.14,518.0,6

Maisie Dobbs,Jacqueline Winspear,3.92,517.0,7

The Blue Nowhere,Jeffery Deaver,3.97,512.0,6

North of Beautiful,Justina Chen,3.92,512.0,7

Mudbound,Hillary Jordan,4.04,511.0,8

A Man Without a Country,Kurt Vonnegut Jr.,4.07,510.0,6

History of Beauty,Umberto Eco,3.78,510.0,7

The Distant Hours,Kate Morton,3.88,510.0,6

The Choice,Nicholas Sparks,4.0,509.0,7

The Wordy Shipmates,Sarah Vowell,3.67,508.0,6

Twenties Girl,Sophie Kinsella,3.83,508.0,7

Before You Know Kindness,Chris Bohjalian,3.47,506.0,6

The Power of Six,Pittacus Lore,4.16,506.0,7

One Shot,Lee Child,4.21,505.0,7

The Serpent's Tale,Ariana Franklin,3.95,504.0,8

Forever,Pete Hamill,3.94,503.0,6

Witch Song,Amber Argyle,3.68,500.0,5

Intermix Nation,M.P. Attardo,4.13,500.0,5

The Summer that Melted Everything,Tiffany McDaniel,3.93,500.0,5

Freaks I've Met,Donald Jans,4.35,500.0,5

First Light,R.L.  Douglas,4.25,500.0,5

A Spy at Home,Joseph Rinaldo,3.7,499.0,5

Twisted,Lola Smirnova,3.85,499.0,5

I am an Island,Jonathan Culver,3.89,498.0,5

Clearly's Corruption,Taylor Ann Bunker,4.42,498.0,5

"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.17,498.0,7

The Gates to Love and War,Janie Pendleton,4.59,497.0,5

Palette of Love,Ashok  Kallarakkal,3.95,497.0,5

Regular People of The Weak: A Rebel's Experience With The Spiritual Chief of Poets,Shareef Mabrouk,4.78,497.0,5

Pregnancy and Men,Pratik Patil,3.83,497.0,5

The Evolution of Mara Dyer,Michelle Hodkin,4.3,497.0,7

Firefly Lane,Kristin Hannah,4.08,496.0,6

I'm Unapologetically Single And More Than OK With It,Justin Ho,5.0,496.0,5
